Company ID,name,Website,Number of Locations Band,Years in Business Band,Employee Band,Revenue Band
118626126,vida software & media int.,vidasoftmedia.com, 1-9, 04-05, 1-9, <$100K
13637457,Innovaci,reeduca.com.mx, 1-9, 16-20, 10-99, $5M-$9.9M
12457816,Ccd,ccd.com.co, 1-9, 16-20, 10-99, $1M-$2.49M
118626140,total,totalip.com.br, 1-9, 16-20, 1-9, <$100K
107353950,PC PARTNERS MX,pcpartners.com.mx, 1-9, 26-30, 10-99, $1M-$2.49M
12588898,Averro,averro.com, 1-9, 16-20, 100-499, $10M-$24.9M
12588900,Software AG,softwareag.com, 50-99, 31+," 1,000+", $1B-$4.9B
12588901,Amplitude,amplitude.com, 1-9, 11-15, 500-999, $100M-$499M
12588907,Inter American Tech,interamericantech.com, 1-9, 21-25, 1-9, <$100K
13113195,vidama software,vidamasoftware.com, 1-9, 06-08, 1-9, <$100K
107222892,,,,,,
118626156,systemax,systemax.com.br, 1-9, 09-10, 1-9, <$100K
12588916,Seodigital,seodigital.cl, 1-9, 31+, 1-9, <$100K
12588927,Vonage Holdings,vonage.com, 50-99, 21-25," 1,000+", $1B-$4.9B
111548287,Online Recruitment Network,the-network.com, 10-29, 21-25, 10-99, <$100K
111941506,GTCON Tecnologia & Servicos,gtcon.com.br, 1-9, 26-30, 100-499, $10M-$24.9M
13637511,grupoqualitat.tech,grupoqualitat.tech, 1-9, 16-20, 1-9, $500K-$999K
107222921,Haisoft,haisoft.fr, 1-9, 21-25, 1-9, $500K-$999K
12457893,Harso Technologies,harso.com, 1-9, 04-05, 1-9, $500K-$999K
111810470,E Systems Group,esystems.com.co, 1-9, 21-25, 1-9, <$100K
12457904,Esolutionsti,esolutionsti.com, 1-9, 04-05, 1-9, <$100K
111941553,itmtelecom.com,itmtelecom.com, 1-9, 21-25, 1-9, $500K-$999K
92149681,SOLTECHPR,soltechpr.com, 1-9, 06-08, 1-9, <$100K
12588989,quercus-technologies.com,quercus-technologies.com, 1-9, 26-30, 1-9, $500K-$999K
12588990,,,,,,
12457919,Emphasys Solucoes Em Tecnologia Da Informacao,emphasysit.services, 1-9, 26-30, 1-9, <$100K
111941572,Eximo,grupoeximo.com, 1-9, 16-20, 1-9, $500K-$999K
118626244,,,,,,
13113295,Bioequipamientos E.I.R.L,bioequipamientos.com, 1-9, 04-05, 1-9, <$100K
107354063,,,,,,
111941590,llevon.com.br,llevon.com.br, 1-9, 26-30, 1-9, $500K-$999K
111941603,Ludo Engenharia,ludocorp.com.br, 1-9, 31+, 1-9, <$100K
111810533,Servicios Profesionales De Ti Peru E.I.R.L,septipe.com, 1-9,-, 1-9, <$100K
111941607,Rg Infotech Comercio Em Tecnologia Me,mavium.com.br, 1-9, 11-15, 1-9, <$100K
13113320,DINAMO SOLUTIONSC.,dinamosolutions.com, 1-9, 16-20, 10-99, $1M-$2.49M
12457967,Fundamentos.iTs,fundamentos.com.br, 1-9, 26-30, 100-499, $10M-$24.9M
118626287,Labsteck,labsteck.com, 1-9, 09-10, 1-9, $500K-$999K
12589044,After-Mouse.com,after-mouse.com, 10-29, 16-20, 10-99, $1M-$2.49M
13113361,Gica Consulting,gicaconsulting.com, 1-9, 04-05, 1-9, <$100K
118626324,BASELINE CONSULTORIA SL.,baseline.es, 1-9, 09-10, 1-9, $500K-$999K
12589099,Martel Communications Contractor,martelpr.com, 1-9, 31+, 10-99, $5M-$9.9M
13113394,Kaizen Solutions,kaizensolutions.com.br, 1-9, 06-08, 1-9, $500K-$999K
118626357,barauna tecnologia,baraunatecnologia.com.br, 1-9,-, 1-9, <$100K
12589123,Northrop Grumman,northropgrumman.com, 100+, 31+," 1,000+", $25B+
118626374,nival solutions,nivalsolutions.com, 1-9, 26-30, 1-9, $500K-$999K
114956358,Sapos Consultores,saposconsultores.com, 1-9, 11-15, 10-99, $1M-$2.49M
118626378,Tatningard Group,tatningard.com, 1-9, 11-15, 10-99, $5M-$9.9M
118626381,turismo y tecnologia,turismoytecnologia.com, 1-9, 11-15, 1-9, <$100K
12458062,Rebel,rebel.com, 1-9, 16-20, 10-99, $50M-$99M
13113425,,,,,,
92280920,Cpi Networks,cpi-networks.com, 1-9, 09-10, 10-99, $1M-$2.49M
111810655,Cemar It,cemar.com.co, 1-9, 04-05, 1-9, <$100K
12589155,Arturo Isaac Martinez Hernandez 10586180,ckiam.com.mx, 1-9, 04-05, 1-9, <$100K
118626412,Blatorh Group,blatorh.com, 1-9, 09-10, 10-99, $1M-$2.49M
13637742,Computer Solutions Services,computersolutionsservices.com, 1-9, 11-15, 1-9, <$100K
12589169,CTE,cte.mx, 1-9, 31+, 100-499, $10M-$24.9M
13637745,designseo digital marketing agency,designseogroup.com, 1-9, 16-20, 1-9, <$100K
12458108,EMERGO GROUP,emergobyul.com, 30-49, 26-30, 100-499, $2.5M-$4.9M
12589183,Crossing ComA(c)rcio E ServiASSos De Tecnologia,videobrax.com, 1-9, 16-20, 1-9, <$100K
13113475,Viga Netstore,viga.com.br, 1-9, 26-30, 100-499, $10M-$24.9M
107354271,Pc Store Albania,pcstore.al, 1-9, 16-20, 10-99, $1M-$2.49M
13113505,GRM Information Management Services,grmdocumentmanagement.com, 30-49, 31+, 500-999, $25M-$49M
118626466,Bp Solutions,bpsolutions.com.ar, 1-9, 09-10, 10-99, $1M-$2.49M
111548581,Psne Professional Service Netw,psne.com.br, 1-9, 11-15, 10-99, $1M-$2.49M
111941804,Rcz Solu,rcz.com.br, 1-9, 11-15, 10-99, $1M-$2.49M
118626477,,,,,,
107223214,Districomp Distribuidora De Informatica,districomp.com.br, 1-9, 21-25, 10-99, $5M-$9.9M
118626478,,,,,,
111941811,Grupo Kio,quo.pe, 1-9, 06-08, 1-9, $500K-$999K
13113525,Key Solutions,keysolution.com, 10-29, 04-05, 1-9, $500K-$999K
13113528,MARKONI CONSULTING,markonicomputing.com, 1-9, 04-05, 1-9, $100K-$499K
12589242,grupo empresarial tic,grupotic.co, 1-9, 16-20, 1-9, <$100K
111810760,Tec House Informatica,techouse.com.br, 1-9, 21-25, 1-9, $500K-$999K
111810764,Ofialiado,ofialiado.com, 1-9,-, 1-9, $500K-$999K
114956495,Secl Group,seclgroup.com, 1-9, 31+, 10-99, $1M-$2.49M
13113553,Border Soft,border-soft.com, 1-9, 04-05, 1-9, <$100K
107223271,DMK3 TECNOLOGIA,dmk3.com.br, 1-9, 09-10, 1-9, <$100K
118626541,WISEPLANT GROUP,wiseplant.com, 1-9, 11-15, 1-9, $100K-$499K
107354349,,,,,,
13113587,Clarisoft,clarisoft.com.au, 1-9, 21-25, 1-9, <$100K
13113596,Consisamexico,consisamexico.com.mx, 1-9, 26-30, 10-99, $1M-$2.49M
12458245,simple network,simplenetwork.com.br, 1-9, 04-05, 1-9, <$100K
13113607,"WEBMANIA, LDA",webmania.pt, 1-9, 04-05, 1-9, $100K-$499K
92018952,Allin Teld,allinteld.com, 1-9, 04-05, 1-9, <$100K
107354390,PC Y MAC DE MEXICO,pcymac.mx, 1-9, 04-05, 1-9, $100K-$499K
118626593,Ensis Technologies,ensistech.com, 1-9, 16-20, 1-9, $500K-$999K
118626597,,,,,,
13113643,LATIN CONTROL SOFTWARE,latincontrol-soft.com, 1-9, 04-05, 10-99, $1M-$2.49M
13113651,Biscaynesoftware,biscaynesoftware.com, 1-9, 04-05, 1-9, <$100K
118626611,agencia pro web designer,prowebdesigner.com.br, 1-9, 16-20, 1-9, <$100K
12458293,,,,,,
106961216,Briones Y Briones,webnet.cl, 1-9, 09-10, 1-9, $1M-$2.49M
23730507,Helpware,helpware.com, 10-29, 09-10, 500-999, $50M-$99M
107223379,DMA INFORMATIQUE,dma.gp, 1-9, 26-30, 10-99, $1M-$2.49M
12589396,,,,,,
12589403,Karik Systems,kariksystems.com, 1-9, 26-30, 10-99, $1M-$2.49M
12589410,Alepo,alepo.com, 1-9, 21-25, 100-499, $10M-$24.9M
107354468,,,,,,
118626661,Adeva,adevait.com, 10-29, 09-10, 10-99, $1M-$2.49M
118626670,sanchez 2.0,sanchez20.com, 1-9, 21-25, 1-9, <$100K
23730545,Codeninja Consulting,codeninjaconsulting.com, 1-9, 11-15, 1-9, $500K-$999K
114956657,Ombia,ombia.co, 1-9, 11-15, 1-9, $500K-$999K
12458364,Silicom,silicom.com.br, 1-9, 04-05, 1-9, <$100K
23730559,Lockheed Martin,lockheedmartin.com, 100+, 31+," 1,000+", $25B+
13113729,Lopez Alcala Perla Del Rosario,ultrasistemasdeimpresion.com, 1-9, 11-15, 1-9, <$100K
93591938,Lozano,lozano.technology, 1-9, 04-05, 1-9, <$100K
92019075,Cecomsa,cecomsa.com, 1-9, 31+, 100-499, $50M-$99M
12458372,Propelland USA,propelland.com, 10-29, 11-15, 1-9, $1M-$2.49M
118626698,belver instrumentos,belver.com.br, 1-9, 26-30, 1-9, <$100K
111942028,Cerv & Ml,cervware.com, 1-9, 06-08, 1-9, <$100K
12458383,Software America,softwareamerica.com.ar, 1-9, 06-08, 100-499, $10M-$24.9M
118626706,Stone Instituicao de Pagamento,stone.com.br, 1-9, 11-15," 1,000+", $500M-$999M
111810963,Dalton Reis Moreira - Me,tmanager.com.br, 1-9, 16-20, 1-9, <$100K
23730580,ETEVERS,etevers.com, 1-9, 31+, 100-499, $500M-$999M
118626708,O.S. Systems,ossystems.com.br, 1-9, 21-25, 10-99, $1M-$2.49M
92150162,techwareitsolutions,techwareitsolutions.com, 1-9, 06-08, 1-9, <$100K
118626713,,,,,,
107354525,P C Parts,pcparts.net, 1-9, 31+, 10-99, $5M-$9.9M
111810974,Uti Da InformA!tica,utidainformatica.net, 1-9, 21-25, 1-9, <$100K
12589476,Computer Technology Associates,cta.com, 10-29, 31+, 100-499, $50M-$99M
118626736,AINSA,ainsahn.com, 1-9, 11-15, 10-99, $1M-$2.49M
118626737,,,,,,
12589494,TECHSUPPORT S.A.,techsupport.ec, 1-9, 09-10, 1-9, $100K-$499K
12589495,The Print Machine (TPM),tpm.com, 10-29, 31+, 100-499, $10M-$24.9M
23730617,Span Digital,spandigital.com, 1-9, 11-15, 10-99, $1M-$2.49M
118626746,Universo Online,uol.com.br, 10-29, 26-30, 500-999, $1B-$4.9B
13638083,Mcfile,mcfile.com, 1-9, 26-30, 1-9, $500K-$999K
23730629,Altoros,altoroslabs.com, 10-29, 06-08, 100-499, $10M-$24.9M
23730637,The News International,multitech.com.pk, 10-29, 31+, 100-499, $10M-$24.9M
13638094,Iai Ingenieria,grupo-iai.com.mx, 1-9, 21-25, 10-99, $5M-$9.9M
23730643,devops technologies,devopstech.co.il, 1-9, 09-10, 1-9, <$100K
23730646,Citrusbits,citrusbits.com, 1-9, 21-25, 100-499, $10M-$24.9M
12458458,Qsl Sistemas,qslsistemas.com, 1-9, 04-05, 1-9, <$100K
92150235,,,,,,
107223521,Dinamica en Microsistemas de Informatica de C.V.,dmi.com.mx, 1-9, 26-30, 10-99, $2.5M-$4.9M
12589555,INSTANT TECNOLOGIA,instanttecnologia.com.br, 1-9, 06-08, 1-9, $100K-$499K
118626804,,,,,,
118626806,automa projetos_montagens eletricas e instrumentacao,automaprojetos.com.br, 1-9, 11-15, 1-9, <$100K
12589562,j de oliveira silva,rcsolucoes.com.br, 1-9, 04-05, 1-9, <$100K
93460988,EASTMART TECHNOLOGY INNOVATORS,eastmarttech.com, 1-9, 04-05, 10-99, $1M-$2.49M
12458496,2Com Consulting,2comconsulting.com.br, 1-9, 21-25, 10-99, $1M-$2.49M
118626818,,,,,,
111548935,WIS,wis.com.ar, 1-9, 11-15, 1-9, $500K-$999K
12458509,techcob,techcob.com.br, 1-9, 11-15, 1-9, <$100K
93329934,Bwave,bwave.co, 1-9, 11-15, 1-9, $500K-$999K
12458510,,,,,,
111548943,Informatica Delta Sac,deltasac.com, 1-9, 31+, 10-99, $5M-$9.9M
118626837,,,,,,
13113886,zella sistemas,zellasistemas.com.br, 1-9, 26-30, 1-9, <$100K
107223586,Distmah,distmah.com.ve, 1-9, 31+, 1-9, $100K-$499K
12589623,connectsoft infotech,connectsoftinfotech.in, 1-9, 09-10, 1-9, <$100K
118626878,aim soluciones s.a.s.,aimsoluciones.com, 1-9, 11-15, 1-9, <$100K
12458561,Emite Facturacion de C.V.,emite.mx, 1-9, 11-15, 10-99, $500K-$999K
13113922,Jmm Solutions,jmsebs.com, 1-9, 02-03, 1-9, <$100K
13113923,Kcg Tech Services,kcgtechservices.com, 1-9, 04-05, 1-9, <$100K
118626882,masiva,masiva.ec, 1-9, 16-20, 1-9, <$100K
114956867,OS3 Solucoes Em Tecnologia da Informacao,os3ti.com, 1-9, 16-20, 1-9, $500K-$999K
12589639,Ag,greendigital.com.br, 1-9, 11-15, 10-99, $1M-$2.49M
118626890,file,filesrl.com, 1-9, 26-30, 1-9, <$100K
114956876,Ostec Business Security,ostec.com.br, 1-9, 16-20, 10-99, $1M-$2.49M
92019281,GSU Consulting,gsu-consult.com, 1-9, 04-05, 1-9, <$100K
118626898,intellevo,intellevo.com.br, 1-9, 11-15, 1-9, <$100K
111549012,HARDWARE,hard-ware.com.mx, 1-9, 02-03, 10-99, $1M-$2.49M
115219028,vbd informatica,vbd.com.br, 1-9, 26-30, 1-9, <$100K
92019288,Shenzhen Sunchip Technology,sunchip-tech.com, 1-9, 02-03, 100-499, $2.5M-$4.9M
107354713,BLAZE CORP,pettersonfaria.com.br, 1-9, 16-20, 1-9, $100K-$499K
118626909,liveware ingenieria de software,liveware.com.ar, 1-9, 31+, 1-9, <$100K
118626911,Omnisec,timecentury.com, 1-9, 11-15, 10-99, $1M-$2.49M
13113954,Business & Decision Limited,businessdecision.com, 10-29, 31+," 1,000+", $100M-$499M
13113956,Biotech S.A.S,biotech.com.co, 1-9, 21-25, 1-9, <$100K
111811188,Xel'Beet,xelbeet.com, 1-9, 11-15, 10-99, $1M-$2.49M
13113979,Critical Links,critical-links.com, 10-29, 16-20, 10-99, $1M-$2.49M
107223685,DOCUCAX,docuprint.com.ar, 1-9, 31+, 1-9, $500K-$999K
12589701,Softsystem Goiania,softsystem.com.br, 1-9, 06-08, 1-9, $500K-$999K
92019344,extensible business reporting language solutions,xbrlsolutions.net, 1-9, 16-20, 1-9, <$100K
93330067,,,,,,
13114013,easysoft pos,easysoft.com.mx, 1-9, 09-10, 1-9, <$100K
111942304,Insolutions Tecnologia Eireli,insolut.com.br, 1-9, 21-25, 1-9, <$100K
111942318,Cnet Technology System,cnet.co.cr, 1-9, 21-25, 1-9, $500K-$999K
118626992,Lead Intelligent,leadchina.cn, 10-29, 26-30," 1,000+", $1B-$4.9B
111549110,intel.com.br,intel.com.br, 1-9, 31+, 1-9, $500K-$999K
13114048,"Flexus, Networkers Collective de C.V.",flexus.com.mx, 1-9, 04-05, 10-99, $2.5M-$4.9M
111811270,Hark It Solutions,hark.com.ar, 1-9, 16-20, 1-9, <$100K
12458699,Hi Tecnologia,hitecnologia.com.br, 1-9, 31+, 10-99, $5M-$9.9M
118627019,itbn,itbnsa.com, 1-9, 21-25, 1-9, <$100K
118627022,lawvision brasil,lawvision.com.br, 1-9, 11-15, 1-9, <$100K
12458702,stics predictive analytics,stics.com.br, 1-9, 26-30, 1-9, <$100K
13638357,ATX Communications,atx.com, 30-49, 31+, 10-99, $5M-$9.9M
23730903,EF Johnson Technologies,efjohnsontechnologies.com, 1-9, 11-15, 100-499, $10M-$24.9M
118627033,kyros,kyros.cl, 1-9, 16-20, 1-9, <$100K
12589786,ERS TELECOM,erstelecom.com.br, 1-9, 11-15, 10-99, $100K-$499K
13114075,Inspira IT,inspirait.com, 1-9, 04-05, 10-99, $500K-$999K
107223784,Dna IT Solutions,dnait.ie, 1-9, 16-20, 1-9, <$100K
118627052,ISEC Bolivia SRL,isec-bo.com, 1-9, 06-08, 1-9, <$100K
12589806,Green Services and Solutions,greencss.com, 1-9, 21-25, 10-99, $10M-$24.9M
118627054,,,,,,
23730931,A.T. Multitech Corporation,multitech.com.cy, 10-29, 31+, 10-99, $5M-$9.9M
12458750,bartdigital.com.br,bartdigital.com.br, 1-9, 09-10, 1-9, $500K-$999K
118627075,konxulto peru,konxulto.com, 1-9, 11-15, 1-9, <$100K
118627076,MECALUX FRANCE,mecalux.fr, 50-99, 31+, 10-99, $100M-$499M
13114125,Commtech,commtech.com, 1-9, 31+, 10-99, $5M-$9.9M
12458765,Signa Computer Systems,signa.com, 1-9, 31+, 1-9, $500K-$999K
12458767,Adobe,adobe.com, 100+, 31+," 1,000+", $10B-$24.9B
118627090,Integracion Optima En Servicios De Impresion,integracionoptima.com, 1-9, 06-08, 1-9, <$100K
107223827,DISTRICOM S A S,districom.co, 1-9, 21-25, 10-99, $2.5M-$4.9M
107223828,,,,,,
23730962,Navimentum information System,navimentum.com, 1-9, 04-05, 10-99, $100M-$499M
118627098,TOUR BRASIL 360,tourbrasil360.com, 1-9, 11-15, 1-9, <$100K
23730982,Optibus,optibus.com, 10-29, 11-15, 100-499, $100M-$499M
13114151,Designbyinsight,designbyinsight.com.br, 1-9, 11-15, 1-9, <$100K
111942454,Overware Technology,overware.pe, 1-9,-, 1-9, <$100K
12458807,,,,,,
12458812,Making Science Group,makingscience.com, 10-29, 04-05," 1,000+", $100M-$499M
111942468,World System,peru-worldsystem.com, 1-9,-, 1-9, <$100K
12589903,Exfabrica,exfabrica.io, 1-9, 04-05, 1-9, $500K-$999K
12589907,Sigma Ridge,sigmaridge.com, 10-29, 16-20, 10-99, $1M-$2.49M
12589908,Forest Solutions,netcomcloud.com, 10-29, 06-08, 1-9, $500K-$999K
114957147,ESENCO SOLUCIONES EN INGENIERIA Y DESARROLLO TECNOLOGICO SAS,esenco.com.co, 1-9, 16-20, 1-9, <$100K
12458845,3con - Consultoria E Sistemas Ltda,trescon.com.br, 1-9, 31+, 100-499, $10M-$24.9M
115219298,viont,viont.mx, 1-9, 06-08, 1-9, <$100K
13114212,unitec solucoes tecnologicas,unitecsolucoestecnologicas.com.br, 1-9, 09-10, 1-9, <$100K
118627177,eVideo Comunicaciones,e-videocomunicaciones.net, 1-9,-, 1-9, <$100K
92281710,Impactos Digitales,impactosdigitales.com, 1-9, 16-20, 1-9, $500K-$999K
13114232,flm tecnologia,flmtecnologia.com, 1-9, 11-15, 1-9, <$100K
107355010,PETRONET IT SOLUTIONS,petronet.com.br, 1-9, 26-30, 1-9, $100K-$499K
12589957,Iproject Ti,iprojectti.com.br, 1-9, 06-08, 10-99, $1M-$2.49M
13638536,,,,,,
115219338,,,,,,
118627219,,,,,,
111942551,,,,,,
12589990,lancomputer,lancomputer.com.br, 1-9, 16-20, 1-9, <$100K
12589996,Consensus Systems Technologies,consystec.com, 1-9, 26-30, 100-499, $10M-$24.9M
13638574,fernandez consulting,fernandezconsult.com, 1-9, 04-05, 1-9, <$100K
118627247,Aplett,aplett.com, 1-9, 11-15, 1-9, $500K-$999K
92150708,Sssingenieros,sssingenieros.com, 1-9, 04-05, 1-9, <$100K
107223998,Dovinet,dovinet.com, 1-9, 11-15, 1-9, $100K-$499K
12590015,Arktics S.A.S,arktics.com, 1-9, 09-10, 10-99, $1M-$2.49M
118627267,Collab Digital,collabdigital.mx, 1-9, 02-03, 1-9, <$100K
13638600,LAN SOLUTION,lansolution.com.br, 1-9, 04-05, 1-9, <$100K
12590045,Emanutech,emanutech.com, 1-9, 04-05, 1-9, <$100K
118627296,Softtronics Solutions S.A,stt-solutions.com, 1-9, 21-25, 10-99, $1M-$2.49M
12458985,Cisco Systems,cisco.com, 100+, 31+," 1,000+", $25B+
92281839,Digitalsynth,digitalsynth.net, 1-9, 04-05, 1-9, <$100K
118627314,case civil and structural engineering,case.international, 10-29, 11-15, 1-9, <$100K
92281849,ASKY PRINT,askyprint.com, 1-9, 21-25, 10-99, $1M-$2.49M
93330439,C2H SOLUTIONS,c2hsolutions.com.br, 1-9, 09-10, 1-9, <$100K
12459017,Attiva Telecom,attivatelecom.com.br, 1-9, 09-10, 1-9, <$100K
107355146,PERUTCS.COM EMPRESA INDIVIDUAL DE RESPONSABILIDAD,perutcs.com, 1-9, 06-08, 1-9, $100K-$499K
111942672,Smart Reasons,sreasons.com, 1-9,-, 1-9, <$100K
111811606,,,,,,
92150817,VASQUEZ BELTRAN OSCAR JAVIER,arpatelsistemasco.com, 1-9, 06-08, 1-9, $100K-$499K
111811624,Juan Ramon Vazquez Gutierrez,skyversa.com, 1-9, 06-08, 1-9, <$100K
111942704,Electricos Y Comunicaciones Electrocom,electrocom.com.co, 1-9, 31+, 1-9, <$100K
12590133,Edlio,edlio.com, 1-9, 11-15, 100-499, $10M-$24.9M
111811638,,,,,,
13114444,Rzh Tecnologia Eireli,f2it.com.br, 1-9, 11-15, 1-9, $100K-$499K
111942734,Riponsi,riponsi.com, 1-9,-, 1-9, <$100K
13114448,keysys.com,keysys.com, 1-9, 31+, 1-9, $500K-$999K
12459088,Mirus Consulting Group Corp,miruspr.com, 1-9, 21-25, 1-9, $500K-$999K
111549529,"Inteligencia, Seguridad & Comunicaci",insecom.mx, 1-9, 11-15, 10-99, $5M-$9.9M
118627429,Genesis Petroleum Technologies,genesispetroleum.com.au, 1-9, 16-20, 1-9, <$100K
118627435,Resource Energy Solutions,resourceenergysolutions.com, 1-9, 26-30, 100-499, $10M-$24.9M
111811691,Software Factory,factory.com.co, 1-9, 31+, 10-99, $1M-$2.49M
107224173,DOMAK DISTRIBUIDORA LTDA EPP,domak.com.br, 1-9, 16-20, 100-499, $10M-$24.9M
111811695,Objectlink,objectlink.net, 1-9, 11-15, 1-9, <$100K
13114480,Bipragma,bipragma.com, 1-9, 11-15, 100-499, $10M-$24.9M
13638768,Onbits Solucoes em TI,onbits.com, 1-9, 16-20, 1-9, $500K-$999K
13638772,Consulting,consultingag.com, 1-9, 16-20, 10-99, $1M-$2.49M
12590199,Meraki Solutions,meraki-s.com, 1-9, 06-08, 1-9, $500K-$999K
111942780,Tecnologia Gb,tecnologiagb.com.ve, 1-9, 11-15, 1-9, <$100K
111811708,Plataforma Buscador Academico Busac,guru-it.com, 1-9, 04-05, 1-9, <$100K
111549568,Broadcast Profesional & Storage S.A.C.,broadcast-storagetv.com, 1-9, 09-10, 1-9, $100K-$499K
13638824,Hardsoft,hardsoftsas.com, 1-9, 04-05, 1-9, <$100K
13114543,Territory Technology Solutions,techsolutions.com.au, 1-9, 26-30, 100-499, $10M-$24.9M
111811760,Tekins,tekins.com, 1-9, 31+, 1-9, <$100K
12459188,Guardiannet Comercio E Servico De Informatica,guardiannet.com.br, 1-9, 04-05, 1-9, <$100K
111811772,Technology Solutions,techcorp.com.ni, 1-9,-, 1-9, <$100K
118627530,mrc web solutions,mrcweb.com.br, 1-9, 09-10, 1-9, <$100K
12459216,Grupo Palermo,grupopalermo.pe, 1-9, 26-30, 1-9, $500K-$999K
13638865,Hmv Ingenieros Ltda,jcmingenieros.cl, 1-9, 16-20, 10-99, $1M-$2.49M
106962140,grainchain.io,grainchain.io, 1-9, 11-15, 1-9, $500K-$999K
118627549,F3IM TECNOLOGIA DA INFORMACAO,f3im.com, 1-9, 11-15, 1-9, $100K-$499K
107224288,HADRONBIT SAS,hadronbit.com, 1-9, 06-08, 1-9, <$100K
12590310,,,,,,
111811817,Llort Tecnologia,llortech.com, 1-9, 26-30, 1-9, <$100K
12459246,Flexxible Information Technology,flexxible.com, 1-9, 21-25, 10-99, $25M-$49M
111811822,Gensystems,gensystems.net, 1-9, 21-25, 10-99, $5M-$9.9M
12459251,m techies,mtechies.co, 1-9, 04-05, 1-9, <$100K
118627580,ICLOUDS,iclouds.com.br, 1-9, 11-15, 1-9, <$100K
115219720,wareways,wareways.com, 1-9, 06-08, 1-9, <$100K
12590353,cloudata,cloudata.cl, 1-9, 31+, 1-9, <$100K
12459285,VOLTECH INSTRUMENTS,voltech.com, 10-29, 31+, 10-99, $1M-$2.49M
12590359,g2o,g2o.com, 10-29, 31+, 500-999, $25M-$49M
92019998,R&D TECHNOLOGIES,r-dtechnologies.com, 1-9, 21-25, 1-9, $100K-$499K
13638942,,,,,,
13114656,COMPUTER SYSTEMS,computersystemsunlimited.net, 10-29, 04-05, 1-9, $100K-$499K
111811874,Serendipity Electronics,serendipityelectronics.com, 1-9, 31+, 10-99, $1M-$2.49M
118627619,idev solutions,idev.com.br, 1-9, 16-20, 1-9, <$100K
118627627,ICA (Ingenieros Consultores Asociados),ica.com.uy, 1-9, 31+, 10-99, $500K-$999K
12590384,Intelematica,intelematica.com.mx, 1-9, 04-05, 1-9, $500K-$999K
107224371,Hard Rental,hardrental.com, 1-9, 11-15, 10-99, $1M-$2.49M
118627636,GTI GESTAO DA TECNOLOGIA DA INFORMACAO,gticonsultoria.com.br, 1-9, 31+, 1-9, <$100K
118627637,intermediahost,hostingperu.com.pe, 1-9, 16-20, 1-9, <$100K
12590396,C.B.M CONSULTING,cbm-consulting.fr, 1-9, 09-10, 1-9, <$100K
118627649,grupo si,gruposi.com.ar, 1-9, 09-10, 1-9, <$100K
12590411,Omnex,omnex.com, 10-29, 31+, 500-999, $50M-$99M
12590414,Tro Maintenance Solutions,trosolutions.com, 1-9, 21-25, 1-9, $500K-$999K
13114702,,,,,,
12459342,NAXOS KUT,naxos.ar, 1-9, 02-03, 10-99, $1M-$2.49M
118627666,expresso sistemas,expressosistemas.com.br, 1-9, 26-30, 1-9, <$100K
115219795,Warriorsdev,warriorsdev.com, 1-9, 11-15, 1-9, $500K-$999K
118627681,frasal,frasal.uy, 1-9, 06-08, 1-9, <$100K
13639016,Access Database Cloud,accessdatabasecloud.com, 10-29, 04-05, 1-9, <$100K
12459382,Onfleet,onfleet.com, 1-9, 09-10, 10-99, $5M-$9.9M
12459391,Techflow Services,techflow.com.au, 10-29, 09-10, 10-99, $1M-$2.49M
13114753,,,,,,
118627714,HRESTART,hrestart.com.br, 1-9, 06-08, 1-9, $100K-$499K
118627722,geoti - aplicacoes e tecnologia,geoti.com.br, 1-9, 09-10, 1-9, <$100K
12590478,KWI,kwi.com, 10-29, 31+, 100-499, $10M-$24.9M
118627731,ether consultoria,etherconsultoria.com.br, 1-9, 06-08, 1-9, <$100K
114957715,virtual ageInfomark,virtualage.com.br, 1-9, 31+, 100-499, $10M-$24.9M
92282261,soluciones angel,solucionesangel.com, 1-9, 16-20, 1-9, <$100K
12590495,Soft Logico,softlogico.com.ar, 1-9, 06-08, 1-9, <$100K
12590505,J2K Security Group Sas,j2ksec.com, 1-9, 16-20, 10-99, $1M-$2.49M
12459438,WD PRODUTOS E SERVICOS TECNOLOGICOS,syssvoip.com.br, 1-9, 16-20, 1-9, <$100K
12459447,Zumero Cloud Services,zumerocloud.com, 1-9, 11-15, 1-9, <$100K
107224504,,,,,,
12459449,Southeast Computer Solutions,southeastcomputers.com, 1-9, 31+, 10-99, $5M-$9.9M
118627774,fleye,fleye.com.br, 1-9, 16-20, 1-9, <$100K
12459455,HUD Inspections,evo4it.com, 1-9, 09-10, 10-99, $5M-$9.9M
12459465,Cyonix Services,cyonixservices.com, 1-9, 04-05, 1-9, <$100K
13639115,Ontario Tech Corridor,ontariotechcorridor.ca, 10-29, 04-05, 1-9, <$100K
111943116,Smart Solutions,sssas.com.co, 1-9, 21-25, 1-9, <$100K
111549899,AMERICAM INTERNATIONAL SYSTEMS S.A.C.,aminsys.net, 1-9, 11-15, 1-9, $100K-$499K
13114830,Nearu Solutions,nearusolutions.com, 1-9, 04-05, 1-9, <$100K
12590542,SYSTEMS ONLINE,sysonline.com, 1-9, 02-03, 1-9, <$100K
118627787,EVEO CLOUD,eveo.com.br, 1-9, 26-30, 10-99, $100K-$499K
12459472,computational-dynamics.com,computational-dynamics.com, 1-9, 21-25, 1-9, $500K-$999K
118627803,EXIMIO SOLUCOES EM TI,eximioti.com.br, 10-29, 06-08, 10-99, $100K-$499K
